"name","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross","type"
"social distance",2020,NA,"Comedy","Drama",NA,5.7,NA,NA,"Brian Jordan Alvarez","Becky Ann Baker"," Asante Blackk","Danielle Brooks",586,NA,NA,"tv"
"drive",2019,NA,"Action","Crime","Thriller",3.6,"Tarun Mansukhani",NA,"Sushant Singh Rajput","Jacqueline Fernandez"," Vikramjeet Virk","Sapna Pabbi",6614,147,NA,"tv"
"haunted: latin america",2021,NA,"Horror","Reality-TV",NA,5.4,NA,NA,"Laura Tovar","Pablo Guisa Koestinger"," Alejandro Restrepo","Pablo Cesar Sanchez",479,NA,NA,"tv"
"stove league",2019,NA,"Drama","Sport",NA,8.4,NA,NA,"Min Namkoong","Eun-bin Park"," Oh Jeong-Se","Byeong-gyu Jo",488,60,NA,"tv"
"the great canadian baking show",2017,NA,"Game-Show",NA,NA,7.5,NA,NA,"Bruno Feldeisen","Kyla Kennaley"," Dan Levy","Julia Chan",281,44,NA,"tv"
"the king and i",1999,NA,"Animation","Family","Fantasy",4.5,"Richard Rich",NA,"Miranda Richardson","Martin Vidnovic"," Christiane Noll","Ian Richardson",3922,87,11.96,"tv"
"un bandido honrado",2019,NA,"Comedy","Crime","Drama",7.8,NA,NA,"Ana María Arango","Katherine Porto"," Jimena Duran","Isabella Barragán",82,NA,NA,"tv"
"the school nurse files",2020,NA,"Comedy","Drama","Fantasy",6.5,NA,NA,"Yu-mi Jung","Nam Joo-Hyuk"," Shim Dal Gi","Ju-Young Lee",915,51,NA,"tv"
"patriot act with hasan minhaj",2018,2020,"Comedy","News","Talk-Show",8.3,NA,NA,"Hasan Minhaj","Joyelle Johnson"," Arnab Goswami","Andrew Yang",6817,25,NA,"tv"
"hollywood darlings",2017,NA,"Comedy",NA,NA,6.7,NA,NA,"Beverley Mitchell","Jodie Sweetin"," Christine Lakin","Brandon Breault",493,21,NA,"tv"
"the stranded",2019,NA,"Adventure","Drama","Mystery",6.3,NA,NA,"Papangkorn Lerkchaleampote","Chutawut Phatrakampol"," Oabnithi Wiwattanawarang","Chayanit Chansangavej",1081,40,NA,"tv"
"cloudy with a chance of meatballs",2017,2018,"Animation","Comedy","Family",3.3,NA,NA,"Mark Robert Edwards","Katie Griffin"," Seán Cullen","David Berni",699,30,NA,"tv"
"all the queen's men",2001,NA,"Action","Comedy","Drama",4.9,"Stefan Ruzowitzky",NA,"Eddie Izzard","Matt LeBlanc"," Udo Kier","James Cosmo",2590,99,0.02,"tv"
"dating around",2019,NA,"Reality-TV","Romance",NA,6.3,NA,NA,"Gurki Basra","Kate Burr"," Graig Couton","Jonathan A. Hanna",1094,30,NA,"tv"
"scare tactics",2003,2013,"Comedy","Horror","Reality-TV",6.7,NA,NA,"Shannen Doherty","Lauren Ash"," Sarah Colonna","Travis Draft",2413,NA,NA,"tv"
