"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"dynasty",2017,NA,"Drama",NA,NA,7.8,"Brandi Bradburn",NA,"Elizabeth Gillies","Daniella Alonso"," Elaine Hendrix","Rafael de la Fuente",187,42,NA
"selena: the series",2020,2021,"Biography","Drama","Music",7.5,"Katina Medina Mora",NA,"Christian Serratos","Gabriel Chavarria"," Ricardo Chavira","Noemi Gonzalez",129,38,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,8,NA,NA,"Michelle Buteau","Sammie Cimarelli"," Bill Cranley","Ed Eason",137,47,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,7.8,NA,NA,"Michelle Buteau","Sammie Cimarelli"," Ed Eason","Tammy Eason",132,47,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,8,NA,NA,"Michelle Buteau","Sammie Cimarelli"," Ed Eason","Tammy Eason",135,42,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,7.2,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Karyn Blanco","Sammie Cimarelli",151,56,NA
"vikings",2013,2020,"Action","Adventure","Drama",8.7,"Joshua Zimmerman",NA,"Alex Høgh Andersen","John Kavanagh",NA,NA,178,NA,NA
"vikings",2013,2020,"Action","Adventure","Drama",8.6,"Joshua Zimmerman",NA,"Ryan Henson","Georgia Hirst"," Jordan Coombes",NA,192,NA,NA
"the epic tales of captain underpants",2018,2020,"Animation","Short","Action",6.3,"Todd Grimes",NA,"Nat Faxon","Jay Gragnani"," Ramone Hamilton","Sean Astin",94,37,NA
"the pharmacist",2020,NA,"Documentary","Crime",NA,7.8,"Jenner Furst","
Julia Willoughby Nason",NA,NA,NA,NA,243,61,NA
"the pharmacist",2020,NA,"Documentary","Crime",NA,8,"Jenner Furst","
Julia Willoughby Nason",NA,NA,NA,NA,215,59,NA
"the pharmacist",2020,NA,"Documentary","Crime",NA,8.3,"Jenner Furst","
Julia Willoughby Nason",NA,NA,NA,NA,204,48,NA
"the pharmacist",2020,NA,"Documentary","Crime",NA,8.2,"Jenner Furst","
Julia Willoughby Nason",NA,NA,NA,NA,195,49,NA
"night on earth",2020,NA,"Documentary",NA,NA,7.8,"Peter Fison",NA,"Alessandra Mastronardi","Beren Saat"," Samira Wiley",NA,303,53,NA
"dynasty",2017,NA,"Drama",NA,NA,8,"Matt Earl Beesley",NA,"Elizabeth Gillies","Daniella Alonso"," Elaine Hendrix","Rafael de la Fuente",166,42,NA
"dynasty",2017,NA,"Drama",NA,NA,7.6,"Heather Tom",NA,"Elizabeth Gillies","Daniella Alonso"," Elaine Hendrix","Rafael de la Fuente",194,42,NA
"black lightning",2017,2021,"Action","Drama","Sci-Fi",7,"Michael Schultz",NA,"Cress Williams","China Anne McClain"," Nafessa Williams","Christine Adams",304,42,NA
"fauda",2015,NA,"Action","Drama","Thriller",8.2,"Rotem Shamir",NA,"Lior Raz","Ala Dakka"," Itzik Cohen","Yaakov Zada Daniel",248,38,NA
"13 reasons why",2017,2020,"Drama","Mystery","Thriller",6.2,"Sunu Gonera",NA,"Dylan Minnette","Grace Saif"," Christian Navarro","Alisha Boe",1619,57,NA
"riverdale",2017,NA,"Crime","Drama","Mystery",6.9,"Catriona McKenzie",NA,"K.J. Apa","Lili Reinhart"," Camila Mendes","Cole Sprouse",647,42,NA
"black lightning",2017,2021,"Action","Drama","Sci-Fi",7.2,"Bille Woodruff",NA,"Cress Williams","China Anne McClain"," Nafessa Williams","Christine Adams",302,41,NA
"pandemic: how to prevent an outbreak",2020,NA,"Documentary",NA,NA,6.7,"Isabel Castro","
Arianna LaPenne","Syra Madad","Holly Goracke"," Dennis Carroll","Jake Glanville",221,52,NA
"pandemic: how to prevent an outbreak",2020,NA,"Documentary",NA,NA,6.6,"Isabel Castro","
Ryan McGarry","Caylan Wagar","Felipe Gómez Alonzo"," Catarina Alonzo Perez","Susan Flis",153,50,NA
"the witcher",2019,NA,"Action","Adventure","Fantasy",NA,"Stephen Surjik",NA,"Graham McTavish","Liz Carr"," Simon Callow","Paul Bullion",NA,NA,NA
"the witcher",2019,NA,"Action","Adventure","Fantasy",NA,"Sarah O'Gorman",NA,"Graham McTavish","Anna Shaffer"," Liz Carr","Simon Callow",NA,NA,NA
"the witcher",2019,NA,"Action","Adventure","Fantasy",NA,"Sarah O'Gorman",NA,"Graham McTavish","Anna Shaffer"," Liz Carr","Simon Callow",NA,NA,NA
"the witcher",2019,NA,"Action","Adventure","Fantasy",NA,"Edward Bazalgette",NA,"Graham McTavish","Anna Shaffer"," Liz Carr","Simon Callow",NA,NA,NA
